Problem type:
least_squares
nparams:
8
function_evaluation,seconds,x(0),x(1),x(2),x(3),x(4),x(5),x(6),x(7)
  4623,  7.5441e+03, -5.9703213137358019e-03, -1.6478107301327750e-03,  5.2108189788613542e-02,  1.6334569120499312e-03, -9.7698052215769329e-04, -3.1392680277551798e-03,  3.8690193625694663e-01,  3.2743652815129319e-03
  4624,  7.5441e+03, -5.9703213137358019e-03, -1.6478107301327750e-03,  5.2108189788613542e-02,  1.6334569120499312e-03, -9.7698052215769329e-04, -3.1393680277551797e-03,  3.8690203625694664e-01,  3.2743652815129319e-03
  4625,  7.5441e+03, -5.9703213137358019e-03, -1.6478107301327750e-03,  5.2108189788613542e-02,  1.6334569120499312e-03, -9.7698052215769329e-04, -3.1393680277551797e-03,  3.8690193625694663e-01,  3.2744652815129317e-03
  4626,  7.5458e+03, -5.9536885603821040e-03, -1.6216095291721837e-03,  5.2082601053049404e-02,  1.6093083760497083e-03, -1.0011451167596551e-03, -3.1213944373911485e-03,  3.8709402822053823e-01,  3.2348340788527106e-03
  4627,  7.5458e+03, -5.9535885603821037e-03, -1.6216095291721837e-03,  5.2082601053049404e-02,  1.6093083760497083e-03, -1.0011451167596551e-03, -3.1213944373911485e-03,  3.8709402822053823e-01,  3.2348340788527106e-03
  4628,  7.5458e+03, -5.9536885603821040e-03, -1.6215095291721836e-03,  5.2082601053049404e-02,  1.6093083760497083e-03, -1.0011451167596551e-03, -3.1213944373911485e-03,  3.8709402822053823e-01,  3.2348340788527106e-03
  4629,  7.5458e+03, -5.9536885603821040e-03, -1.6216095291721837e-03,  5.2082701053049407e-02,  1.6093083760497083e-03, -1.0011451167596551e-03, -3.1213944373911485e-03,  3.8709402822053823e-01,  3.2348340788527106e-03
  4630,  7.5458e+03, -5.9536885603821040e-03, -1.6216095291721837e-03,  5.2082601053049404e-02,  1.6094083760497084e-03, -1.0011451167596551e-03, -3.1213944373911485e-03,  3.8709402822053823e-01,  3.2348340788527106e-03
  4631,  7.5458e+03, -5.9536885603821040e-03, -1.6216095291721837e-03,  5.2082601053049404e-02,  1.6093083760497083e-03, -1.0010451167596550e-03, -3.1213944373911485e-03,  3.8709402822053823e-01,  3.2348340788527106e-03
  4632,  7.5458e+03, -5.9536885603821040e-03, -1.6216095291721837e-03,  5.2082601053049404e-02,  1.6093083760497083e-03, -1.0011451167596551e-03, -3.1212944373911486e-03,  3.8709402822053823e-01,  3.2348340788527106e-03
